4456;argentina/primera-c-metropolitana-apertura;argentina-primera-c-metropolitana-apertura;Primera C Metropolitana, Apertura;ARGENTINA: Primera C Metropolitana, Apertura;9
64;brasil/serie-a;brasil-serie-a;Serie A;BRASIL: Serie A;28
4467;botswana/premier-league;botswana-premier-league;Premier League;BOTSWANA: Premier League;27
3490;brasil/paraense;brasil-paraense;Paraense;BRASIL: Paraense;28
1332;brasil/paulista-a1;brasil-paulista-a1;Paulista A1;BRASIL: Paulista A1;28
2246;brasil/carioca-1;brasil-carioca-1;Carioca 1;BRASIL: Carioca 1;28
2248;brasil/gaucho-1;brasil-gaucho-1;Gaucho 1;BRASIL: Gaucho 1;28
2250;brasil/mineiro-1;brasil-mineiro-1;Mineiro 1;BRASIL: Mineiro 1;28
2254;brasil/paranaense-1-1st-phase;brasil-paranaense-1-1st-phase;Paranaense 1, 1st Phase;BRASIL: Paranaense 1, 1st Phase;28
2249;brasil/gaucho-1-final-stages;brasil-gaucho-1-final-stages;Gaucho 1, Final Stages;BRASIL: Gaucho 1, Final Stages;28
2255;brasil/pernambucano-1;brasil-pernambucano-1;Pernambucano 1;BRASIL: Pernambucano 1;28
2308;brasil/cearense-1-first-round;brasil-cearense-1-first-round;Cearense 1, First Round;BRASIL: Cearense 1, First Round;28
2252;brasil/baiano-1;brasil-baiano-1;Baiano 1;BRASIL: Baiano 1;28
2301;brasil/catarinense-1;brasil-catarinense-1;Catarinense 1;BRASIL: Catarinense 1;28
1146;argentina/primera-b-nacional;argentina-primera-b-nacional;Primera B Nacional;ARGENTINA: Primera B Nacional;9
2306;brasil/goiano-1;brasil-goiano-1;Goiano 1;BRASIL: Goiano 1;28
2244;brasil/paulista-a1-final-stages;brasil-paulista-a1-final-stages;Paulista A1, Final Stages;BRASIL: Paulista A1, Final Stages;28
3479;brasil/maranhense;brasil-maranhense;Maranhense;BRASIL: Maranhense;28
2247;brasil/carioca-1-final-stages;brasil-carioca-1-final-stages;Carioca 1, Final Stages;BRASIL: Carioca 1, Final Stages;28
2251;brasil/mineiro-1-final-stages;brasil-mineiro-1-final-stages;Mineiro 1, Final Stages;BRASIL: Mineiro 1, Final Stages;28
4398;brasil/taca-guanabara;brasil-taca-guanabara;Taca Guanabara;BRASIL: Taca Guanabara;28
2253;brasil/baiano-1-final-stages;brasil-baiano-1-final-stages;Baiano 1: Final Stages;BRASIL: Baiano 1: Final Stages;28
2256;brasil/pernambucano-1-final-stages;brasil-pernambucano-1-final-stages;Pernambucano 1, Final Stages;BRASIL: Pernambucano 1, Final Stages;28
2307;brasil/goiano-1-final-stages;brasil-goiano-1-final-stages;Goiano 1, Final Stages;BRASIL: Goiano 1, Final Stages;28
2303;brasil/catarinense-1-final-stages;brasil-catarinense-1-final-stages;Catarinense 1, Final Stages;BRASIL: Catarinense 1, Final Stages;28
2310;brasil/cearense-1-final-stages;brasil-cearense-1-final-stages;Cearense 1, Final Stages;BRASIL: Cearense 1, Final Stages;28
3444;brasil/potiguar;brasil-potiguar;Potiguar;BRASIL: Potiguar;28
3445;brasil/paraibano;brasil-paraibano;Paraibano;BRASIL: Paraibano;28
2536;brasil/paranaense-1-playoffs;brasil-paranaense-1-playoffs;Paranaense 1, Playoffs;BRASIL: Paranaense 1, Playoffs;28
3480;brasil/alagoano;brasil-alagoano;Alagoano;BRASIL: Alagoano;28
3492;brasil/sulmatogrossense;brasil-sulmatogrossense;Sul-Matogrossense;BRASIL: Sul-Matogrossense;28
3491;brasil/matogrossense;brasil-matogrossense;Matogrossense;BRASIL: Matogrossense;28
3489;brasil/capiaxaba;brasil-capiaxaba;Capiaxaba;BRASIL: Capiaxaba;28
788;brasil/national-cup;brasil-national-cup;National Cup;BRASIL: National Cup;28
3486;brasil/copa-de-nordeste;brasil-copa-de-nordeste;Copa de Nordeste;BRASIL: Copa de Nordeste;28
1194;brasil/serie-b;brasil-serie-b;Serie B;BRASIL: Serie B;28
3149;brasil/serie-c;brasil-serie-c;Serie C;BRASIL: Serie C;28
4441;brasil/copa-do-brasil-u20;brasil-copa-do-brasil-u20;Copa do Brasil U-20;BRASIL: Copa do Brasil U-20;28
4424;brasil/brasileiro-women;brasil-brasileiro-women;Brasileiro - Women;BRASIL: Brasileiro - Women;28
4067;brasil/serie-c-playoffs;brasil-serie-c-playoffs;Serie C, Playoffs;BRASIL: Serie C, Playoffs;28
4655;brasil/brasileiro-playoff-women;brasil-brasileiro-playoff-women;Brasileiro, Playoff - Women;BRASIL: Brasileiro, Playoff - Women;28
2309;brasil/cearense-1-second-round;brasil-cearense-1-second-round;Cearense 1, Second Round;BRASIL: Cearense 1, Second Round;28
4468;brasil/brasileiro-u20;brasil-brasileiro-u20;Brasileiro U-20;BRASIL: Brasileiro U-20;28
2257;bulgaria/a-pfg-relegation-group;bulgaria-a-pfg-relegation-group;A PFG, Relegation Group;BULGARIA: A PFG, Relegation Group;30
755;bulgaria/a-pfg;bulgaria-a-pfg;A PFG;BULGARIA: A PFG;30
826;bulgaria/supercup;bulgaria-supercup;Supercup;BULGARIA: Supercup;30
2851;bulgaria/a-pfg-championship-group;bulgaria-a-pfg-championship-group;A PFG, Championship Group;BULGARIA: A PFG, Championship Group;30
316;bulgaria/national-cup;bulgaria-national-cup;National Cup;BULGARIA: National Cup;30
4254;bulgaria/a-pfg-playoffs;bulgaria-a-pfg-playoffs;A PFG, Playoffs;BULGARIA: A PFG, Playoffs;30
4469;cambodia/cleague;cambodia-cleague;C-League;CAMBODIA: C-League;33
3106;bulgaria/b-pfg;bulgaria-b-pfg;B PFG;BULGARIA: B PFG;30
3629;cameroon/elite-one;cameroon-elite-one;Elite One;CAMEROON: Elite One;34
4425;canada/premier-league;canada-premier-league;Premier League;CANADA: Premier League;35
1375;canada/csl;canada-csl;CSL;CANADA: CSL;35
